folder,file,innov_score,innov_reason,innov_present,proact_score,proact_reason,proact_present,risk_score,risk_reason,risk_present
ACN,q3-2021.md,8,"Accenture is focused on digital transformation, innovation, and technology leadership, especially in cloud, Industry X (digital engineering and manufacturing), and security. They are investing in acquisitions to scale in these areas and drive continued innovation. They also emphasize their cross-industry expertise to tailor industry solutions, which shows innovativeness.",True,8,"Accenture is forward-thinking and opportunity-seeking, investing in areas like cloud and digital engineering before they become mainstream. They are continuously adapting their strategies and service offerings to meet client's evolving needs, demonstrating proactiveness.",True,7,"Accenture is making significant investments in acquisitions and expanding into new areas like Industry X, which indicates a willingness to commit resources to ventures in uncertain environments. They also emphasize their willingness to face loss for potential gain.",True
ACN,q4-2018.md,8,"Accenture is focused on 'Rotation to the New' which involves digital, cloud and security services. They are investing in Industry X.0, which helps clients reinvent manufacturing with technologies like IoT, connected devices, and digital platforms. They are also partnering with key platform players like SAP, Microsoft, Oracle and Salesforce to transform businesses using new generation of cloud-enabled platforms with advanced analytics, AI, and machine learning capabilities.",True,8,"Accenture is proactive as demonstrated by their focus on leading in the 'New' and making relevant investments ahead of the curve to differentiate their offerings and enhance their competitiveness. They are also anticipating future demand by investing in areas like Industry X.0 and expanding their capabilities in digital, cloud, and security-related services.",True,6,"Accenture is taking calculated risks by venturing into new areas such as Industry X.0 and expanding their digital, cloud, and security services. They are making acquisitions to gain critical skills and capabilities in strategic high-growth areas of the market. They also mention potential risks from Brexit, trade wars and commodity pricing volatility.",True
ACN,q4-2019.md,8,"Accenture is focused on helping clients with enterprise-wide transformation by leveraging new technologies like AI, machine learning, and cloud to create innovative solutions. They are also focused on scaling areas like data and security. Accenture Interactive achieved a milestone of over $10 billion in revenue, showing a commitment to innovative customer experiences.",True,8,"Accenture is forward-thinking and opportunity-seeking, focusing on helping clients build their digital core, drive growth, and optimize operations. They are anticipating future trends and potential issues by investing in emerging technologies and scaling new capabilities like X.O. They are also focused on expanding industry and functional expertise through acquisitions.",True,4,"Accenture is not demonstrating bold actions, venturing into the unknown, borrowing heavily, or committing significant resources to ventures in uncertain environments. The transcript highlights a focus on steady growth, market leadership, and strategic acquisitions rather than high-risk endeavors.",False
ACN,q4-2020.md,8,"Accenture is investing in R&D and new technologies like cloud and digital transformation. They are also working with clients to develop new digital solutions and improve existing processes. The company demonstrates a focus on innovation and adapting to changing market needs. Accenture Cloud First, with a $3 billion investment, exemplifies a forward-thinking approach to cloud adoption and digital transformation.",True,8,Accenture is actively seeking opportunities and adapting to the changing market. They are investing in new technologies and services to meet the evolving needs of their clients. The company is also forward-thinking in its approach to digital transformation and cloud adoption. Accenture's creation of Accenture Cloud First demonstrates initiative and anticipation of future demand.,True,4,"The transcript does not provide substantial evidence of Accenture taking bold actions in uncertain environments. While the company is investing in new technologies and services, these investments appear to be calculated and strategic, rather than high-risk ventures. There's no significant indication of venturing into the unknown or heavily borrowing to commit significant resources to uncertain ventures.",False
ACN,q4-2021.md,8,"Accenture is investing in R&D, acquisitions and training to stay ahead of the curve and offer innovative solutions to clients. Mentions of cloud, Industry X, and sustainability services indicate a forward-thinking approach. They also increased their portfolio of patents and pending patents to more than 8,200.",True,9,Accenture is actively seeking opportunities by expanding into new areas like sustainability and Industry X. They are forward-thinking and anticipating future demand by investing in cloud capabilities and digital transformation. They are also expanding their managed services to help clients digitize faster and address the war for talent.,True,7,"Accenture is making significant investments in acquisitions and R&D, venturing into uncertain environments. They are investing in new technologies and industries, demonstrating a willingness to take calculated risks for potential gains. Launching sustainability services and expanding Industry X also involve a level of risk.",True
ADBE,article_body_only.md,8,"Adobe is consistently pushing the boundaries of creativity, as evidenced by the development of new media types, including 3D, video, and augmented reality. The acquisition of Allegorithmic to expand Creative Cloud into interactive content design is also a sign of innovativeness.",True,8,Adobe demonstrates proactiveness by anticipating future trends and customer needs. The company is integrating Magento and Marketo into Adobe Experience Cloud to create an unmatched value proposition for customers and growing Adobe's addressable opportunity in the Customer Experience Management category.,True,4,"Adobe does not seem to be venturing into the unknown, borrowing heavily, and/or committing significant resources to ventures in uncertain environments. The company is primarily focused on expanding its existing product lines and integrating recent acquisitions.",False
AJG,q1-2019.md,7,"The transcript mentions 'new treatment quality index and our smart claim benchmarking methodology, two recent examples of innovation that GB is utilizing to drive superior claim outcomes for our clients.' This shows an effort to introduce new methods and improve existing processes.",True,8,"The company is actively pursuing mergers and acquisitions to expand its business, with a significant pipeline of potential deals. They are also expanding into new areas such as the GB specialty division, demonstrating a forward-looking approach.",True,4,"The company focuses on 'fair prices' for acquisitions and maintaining a strong balance sheet. While they are pursuing growth, the emphasis is on calculated decisions rather than bold, uncertain ventures. There is no indication of venturing into the unknown or committing significant resources to highly uncertain environments.",False
ALL,q1-2020.md,8,"The transcript showcases Allstate's innovativeness through its rapid adaptation to the pandemic, leveraging digital innovations like QuickFoto Claim and Virtual Assist, and expanding virtual sales and support capabilities. The company's commitment to telematics-based pricing with Drivewise and Milewise, along with scenario planning to navigate future uncertainties, further underscores its innovative approach.",True,9,"Allstate demonstrates proactiveness by anticipating the impact of the pandemic on auto insurance and taking preemptive actions such as the Shelter-in-Place Payback program. The company's forward-thinking approach is also evident in its continuous R&D investments and adaptation of strategies as circumstances change, as well as reducing equity exposure by $4 billion.",True,7,"Allstate exhibits calculated risk-taking by venturing into new areas such as expanding into other protection businesses beyond traditional insurance, and by making strategic shifts in its investment portfolio. While the company demonstrates a willingness to adapt and take calculated risks, its risk-taking is tempered by a focus on maintaining financial stability and protecting customer interests.",True
ALL,q1-2021.md,8,"The transcript showcases innovativeness through Allstate's 'Transformative Growth' initiative, which focuses on building a low-cost digital insurer with broad distribution, leveraging technology ecosystems, and improving customer experience. The development and expansion of Allstate Protection Plans, including innovative services like two-day appliance repair, and the early adoption and growth of telematics-based insurance products like Milewise, further demonstrate a commitment to creativity and technological advancement.",True,8,"The company exhibits proactiveness by acquiring National General to expand its independent agent distribution and product portfolio, selling life insurance companies to redeploy capital, and implementing 'Transformative Growth' to build a low-cost digital insurer. These actions reflect a forward-looking perspective and a willingness to adapt strategies to changing market conditions.",True,7,"Allstate demonstrates risk-taking through its investments in 'Transformative Growth,' which involves significant changes to its business model and technology ecosystems. The acquisition of National General and the expansion of Allstate Protection Plans also represent calculated risks to expand market share and broaden protection solutions.",True
ALL,q2-2019.md,7,"Allstate is leveraging telematics through Arity and rebranding SquareTrade to enhance brand exposure, indicating a focus on technological advancement and brand synergy.",True,8,"Allstate is proactively adjusting strategies based on market conditions, such as reducing advertising expenses when economics are less favorable and expanding into Europe with SquareTrade. They're also focused on long-term returns on equity and adapting investment strategies.",True,6,"Allstate is strategically positioning its investment portfolio for growth, extending duration on fixed income, and appropriately matching long-dated liabilities with equity investments. They are also venturing into new markets and integrating indemnity offerings.",True
ALL,q2-2020.md,7,"Allstate is implementing a transformative growth plan that leverages technology, marketing, and customer access to adapt to a post-coronavirus operating environment. They are launching the Allstate One app, which simplifies digital access and telematics offerings. They are also expanding telematics offerings and promoting the Milewise pay-by-mile product. These initiatives demonstrate a focus on technology and innovation to improve customer experience and adapt to changing customer needs.",True,8,"Allstate is proactively adapting to the changing market conditions by expanding customer access, enhancing customer value, and investing in technology and marketing. They are sunsetting the Esurance brand and concentrating advertising spend on the Allstate brand. They are also improving online and call center sales flows. Furthermore, they are acquiring National General to drive profitable growth in the independent agent channel. These actions demonstrate a forward-thinking approach and a willingness to adapt strategies as circumstances change.",True,6,"Allstate demonstrated risk-taking by acquiring Allstate Protection Plans for $1.4 billion, venturing into the service businesses. They are also acquiring National General to expand their presence in the independent agent channel and gain access to the nonstandard auto insurance market. These acquisitions involve committing significant resources to ventures in uncertain environments, indicating a willingness to take calculated risks for potential growth and higher returns.",True
ALL,q2-2021.md,7,"The transcript showcases innovation through the 'Transformative Growth' plan, focusing on building a low-cost digital insurer, expanding customer access, and deploying new technology ecosystems. It also highlights the development of telematics capabilities with Drivewise and Milewise, and the launch of Arity IQ for integrating telematics into pricing.",True,8,"The company demonstrates proactiveness by focusing on long-term value creation through the Transformative Growth plan, expanding protection solutions, and making strategic acquisitions and divestitures. They are adapting to changing market conditions by improving the competitive price position of auto insurance and transforming the distribution platform.",True,6,"Allstate is taking calculated risks by investing in transformative growth initiatives, expanding into new markets through acquisitions like National General and SafeAuto, and divesting from lower-growth businesses. They are also embracing new agent models with higher growth and lower costs.",True
